date,open,high,low,close,volume
2020-01-02,100.0,100.1652,99.8348,100.0,469771
2020-01-03,100.0882,101.222,99.3027,100.4364,1973656
2020-01-06,100.3414,101.6288,97.8929,99.1802,431960
2020-01-07,99.1255,100.813,98.4866,100.174,1470977
2020-01-08,100.138,102.5596,98.9989,101.4205,1491638
2020-01-09,101.1928,102.8753,97.3264,99.0089,1312014
2020-01-10,98.7664,99.7034,96.5111,97.4481,1840621
2020-01-13,97.546,98.3079,96.8937,97.6556,208972
2020-01-14,97.7467,98.4586,96.6055,97.3174,742932
2020-01-15,97.4126,98.1306,96.629,97.347,531758
2020-01-16,97.0665,98.1325,95.2901,96.3561,1238467
2020-01-17,96.2558,98.2162,95.5195,97.4799,1343974
2020-01-20,97.3032,99.4677,96.3261,98.4906,1816222
2020-01-21,98.655,99.12,98.1584,98.6235,883494
2020-01-22,98.8368,100.9057,98.0169,100.0857,624617
2020-01-23,99.9336,101.4475,99.215,100.7289,1863704
2020-01-24,100.8303,102.1374,98.3887,99.6957,1411378
2020-01-27,99.474,100.6912,98.9944,100.2116,1576503
2020-01-28,100.0764,100.9754,98.1604,99.0594,1000961
2020-01-29,98.8446,101.547,97.5111,100.2135,1005291
2020-01-30,100.0833,100.5727,99.7127,100.2021,900283
2020-01-31,100.3072,100.8624,99.4654,100.0206,1549126
2020-02-03,100.2669,101.5216,97.9627,99.2174,579107
2020-02-04,99.0403,102.106,97.7438,100.8094,1955727
2020-02-05,100.8349,101.106,100.3941,100.6653,516665
2020-02-06,100.7869,101.2266,99.7354,100.1752,1029765
2020-02-07,100.4474,101.4925,98.7381,99.7832,766304
2020-02-10,99.8491,101.1093,99.2462,100.5065,1356546
2020-02-11,100.3588,101.7862,99.595,101.0224,1425245
2020-02-12,101.0984,102.0145,100.6854,101.6015,1853596
2020-02-13,101.492,102.9484,100.7508,102.2071,1620590
2020-02-14,102.4991,107.0756,100.4802,105.0566,647614
2020-02-17,104.9934,105.6492,103.9182,104.574,571983
2020-02-18,104.6904,105.8182,102.827,103.9549,1795804
2020-02-19,103.6575,104.2886,102.3166,102.9477,1078166
2020-02-20,102.8859,104.7061,101.983,103.8032,375580
2020-02-21,104.0369,106.6923,102.6891,105.3446,1684947
2020-02-24,105.4143,105.9094,104.7526,105.2477,1367206
2020-02-25,105.2123,106.0153,103.3903,104.1933,246028
2020-02-26,104.4658,105.7907,101.8449,103.1698,1609108
